460,IMPROPER LANE USAGE/CC
461,SPEEDING MAXIMUM LIMIT 55/65 MPH ZONE
462,FLEE TO ELUDE POLICE/CC
463,PURCHASE AND PUBLIC POSSESSION OF ALCOHOLIC BEVERAGES BY PERSONS UNDER TWENTY-ONE
464,"PROHIBITED ACTS --SCHEDULE II,PENALTIES"
465,MISREPRESENTATION OF AGE TO OBTAIN ALCOHOLIC BEVERAGES
466,POSSESSION OF FIREARM ON PREMISES OF ALCOHOLIC BEVERAGES
467,PICTURE IDENTIFICATION REQUIRED FOR ENTRANCE TO LICENSED ALCOHOLIC BEVERAGE OUTLET
468,BICYCLES; FRONT LAMPS; REAR LAMPS; SIDE AND REAR REFLECTORS
469,PROOF OF INSURANCE REQ
470,PEEPING TOM
471,FAILURE TO YIELD AFTER STOP
472,POSSESSION OF HYPODERMIC NEEDLE
473,RIGHT OF WAY/FAIL TO YIELD
474,THEFT - THEFT FROM BUILDING
475,CRIMINAL MISCHIEF - THROWING ROCKS / DANGEROUS OBJECTS
476,CRIMINAL MISCHIEF - TRESPASS/OCCUPATION OF A BUSINESS
477,ILLEGAL CARRYING OF WEAPON (WITH CDS)
478,DUTY OF OFFENDER TO NOTIFY LE CHANGE OF ADDRESS
479,LICENSE PLATE LAMP REQUIRED
480,FALSE IMPRISONMENT; OFFENDER ARMED WITH DANGEROUS WEAPON
481,BATTERY OF A DATING PARTNER - PREGNANT
482,INTERFERENCE WITH THE CUSTODY OF A CHILD
483,FALSE CERTIFICATES (MVI)
484,OBEDIENCE TO POLICE AND FIRE DEPARTMENT OFFICIALS
485,BANK FRAUD
486,DIST/MANF SCH1 DRUG
487,RENEWAL OF REGISTRATION BY OFFENDERS
488,POSSESSION\DISTRBUTION MANUFACTURING SCHEDULE III
489,LEASED MOVABLES; OBTAINING BY FALSE REPRESENTATIONS;FAILURE TO RETURN OR SURRENDER
490,POSSESSION\DISTRBUTION MANUFACTURING SCHEDULE IV
491,FIREARM/MACHINE GUN HANDLING
492,ILLEGAL POSSESSION WEAPONS (BURGLARY TOOLS)
493,FALSE IMPERSONATION OF A POLICE OFFICER
494,ASSAULT/AGG DATING PARTNER
495,"NO LIABILITY INSURANCE, CRIMINAL SANCTIONS"
496,FRAUDULENT IDENTIFICATION DOCUMENTS
497,THEFT OF UTILITY SERVICE/CC
498,MISREPRESENTATION DURING ISSUANCE OF A MISDEMEANOR SUMMONS OR PREPARATION
499,NO PROOF OF INSURANCE
500,UNLAWFUL USE OF CELLPHONE TRACKING DEVICE
501,EXPIRED REGISTRATION
502,SECOND DEGREE KIDNAPPING - KIDNAPPING/ABDUCTION
503,ILL USE OF 911
504,DRIVING OVER PRIVATE PROPERTY
505,MISREP DUR BOOKING/CC
506,MISDEMEANOR CARNAL KNOWLEDGE OF A JUVENILE
507,PET OWNER'S RESPONSIBILITY/CC
508,NEGLIGENT CARRYING OF A CONCEALED HANDGUN
509,REGISTRATION EXPIRED
510,YIELD/PASSING EMERGENCY VEHICLE
511,DRUG PARA PROH/CC
512,DOMESTIC ABUSE BATTERY � SERIOUS BODILY INJURY
513,BRAKES REQUIRED
514,AGGRAVATED ASSAULT OF A DATING PARTNER - CHILD ENDANGERMENT
515,CRIMINAL MISCHIEF - FALSE REPORT OF A CRIME
516,DISTRIBUTION OR POSSESSION WITH INTENT TO DISTRIBUTE NARCOTIC DRUGS LISTED IN SCHEDULE I
517,MOTOR VEHICLE INSPECTION STICKER REQUIRED
518,DISTRIBUTION OF SCHEDULE II - FENTANYL W/ CERTAIN CHARACTERISTICS
519,REQUIRED METHOD OF TURNING AT INTERSECTIONS
520,OBEDIENCE TO TRAFFIC CONTROL DEVICES
